Column,Data Quality Assessment,Data Gap Assessment,Keep (Y/N),Notes
@type,N,N,N,
@id,Y,Y,Y,
repo,Y,Y,Y,
name,Y,Y,Y,
category,N,Y,Y,
last_cat,N,Y,Y,Calculated final category
ref_flow,Y,N,Y,
ref_flow_id,Y,N,Y,
description,Y,Y,Y,
dqEntry,Y,N,Y,Process data quality score
isInfrastructureProcess,N,N,N,
lastChange,Y,N,Y,
lastInternalId,N,N,N,
processType,Y,Y,Y,"""LCI_RESULT"" or ""UNIT_PROCESS"""
version,N,N,N,
defaultAllocationMethod,Y,N,Y,
location.@type,N,N,N,
location.@id,N,N,N,
location.name,Y,Y,Y,
dqSystem.@type,N,N,N,
dqSystem.@id,N,N,N,
dqSystem.name,Y,N,Y,Process data quality schema
exchangeDqSystem.@type,N,N,N,
exchangeDqSystem.@id,N,N,N,
exchangeDqSystem.name,Y,N,Y,Exchange data quality schema
processDocumentation.completenessDescription,Y,N,Y,
processDocumentation.creationDate,Y,N,Y,
processDocumentation.dataCollectionDescription,Y,N,Y,
processDocumentation.dataDocumentor.@type,N,N,N,
processDocumentation.dataDocumentor.@id,N,N,N,
processDocumentation.dataDocumentor.name,Y,N,Y,
processDocumentation.dataGenerator.@type,N,N,N,
processDocumentation.dataGenerator.@id,N,N,N,
processDocumentation.dataGenerator.name,Y,N,Y,
processDocumentation.dataSelectionDescription,Y,N,Y,
processDocumentation.dataSetOwner.@type,N,N,N,
processDocumentation.dataSetOwner.@id,N,N,N,
processDocumentation.dataSetOwner.name,Y,N,Y,
processDocumentation.dataTreatmentDescription,Y,N,Y,
processDocumentation.intendedApplication,Y,N,Y,
processDocumentation.inventoryMethodDescription,Y,N,Y,
processDocumentation.isCopyrightProtected,Y,N,Y,
processDocumentation.modelingConstantsDescription,Y,N,Y,
processDocumentation.projectDescription,Y,N,Y,
processDocumentation.restrictionsDescription,Y,N,Y,
processDocumentation.reviewDetails,Y,N,Y,
processDocumentation.reviewer.@type,N,N,N,
processDocumentation.reviewer.@id,N,N,N,
processDocumentation.reviewer.name,Y,N,Y,
processDocumentation.samplingDescription,Y,N,Y,
processDocumentation.timeDescription,Y,N,Y,
processDocumentation.validFrom,Y,Y,Y,
processDocumentation.validUntil,Y,Y,Y,
processDocumentation.geographyDescription,Y,Y,Y,
processDocumentation.publication.@type,N,N,N,
processDocumentation.publication.@id,N,N,N,
processDocumentation.publication.name,Y,Y,Y,
processDocumentation.technologyDescription,Y,N,Y,
exchanges,Y,Y,Y,separate table
allocationFactors,Y,N,Y,
processDocumentation.sources,Y,Y,Y,
parameters,Y,N,Y,
socialAspects,Y,N,Y,
processDocumentation.dataDocumentor.category,N,N,N,
processDocumentation.dataGenerator.category,N,N,N,
processDocumentation.dataSetOwner.category,N,N,N,
processDocumentation.reviewer.category,N,N,N,
processDocumentation.publication.category,N,N,N,
socialDqSystem.@type,N,N,N,
socialDqSystem.@id,N,N,N,
socialDqSystem.name,Y,N,Y,
